"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","60","13","7"
"B3","treatX","60","14","12"
"B4","untreated","36","92","0"
"B5","untreated","56","0","2"
"B6","treatY","51","45","45"
"B7","treatY","54","111","115"
"C2","treatX","61","4","7"
"C3","treatX","60","14","18"
"C6","treatY","13","99","35"
"C7","treatY","44","118","52"
"D2","treatX","60","10","14"
"D3","treatX","60","23","8"
"D6","treatY","57","86","61"
"D7","treatY","42","91","111"
"E2","treatX","60","9","5"
"E3","treatX","60","9","13"
"E4","untreated","0","22","54"
"E5","untreated","70","0","38"
"E6","treatY","38","22","50"
"E7","treatY","84","141","109"
