"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","60","43","19"
"B3","treatX","60","45","33"
"B4","untreated","41","105","0"
"B5","untreated","84","0","2"
"B6","treatY","120","91","93"
"B7","treatY","107","211","198"
"C2","treatX","61","6","23"
"C3","treatX","63","25","36"
"C6","treatY","17","298","93"
"C7","treatY","117","249","126"
"D2","treatX","61","20","33"
"D3","treatX","62","62","33"
"D6","treatY","80","206","157"
"D7","treatY","88","183","251"
"E2","treatX","60","17","15"
"E3","treatX","60","14","20"
"E4","untreated","0","32","66"
"E5","untreated","79","0","43"
"E6","treatY","81","35","115"
"E7","treatY","159","280","234"
