"well","treatment","DIV1","DIV3","DIV4"
"B2","treatX","3711","4452","3247"
"B3","treatX","5495","4264","3545"
"B4","untreated","684","1487","0"
"B5","untreated","587","0","73"
"B6","treatY","1165","1249","1670"
"B7","treatY","520","1014","921"
"C2","treatX","2817","1187","2099"
"C3","treatX","4342","2273","3040"
"C6","treatY","54","2971","1460"
"C7","treatY","262","540","636"
"D2","treatX","5674","4112","6686"
"D3","treatX","7488","6569","3454"
"D6","treatY","257","836","825"
"D7","treatY","828","1371","1551"
"E2","treatX","3551","2366","2423"
"E3","treatX","4820","2700","3135"
"E4","untreated","0","811","1983"
"E5","untreated","2815","0","166"
"E6","treatY","920","1071","1584"
"E7","treatY","720","1640","1633"
